Period,Sustainable Fund,Conventional Fund,R_f
Period 1,0.26467305421829200,0.23767939209938000,0.01299999468028550
Period 2,0.21227811276912700,0.19480492174625400,0.01342996489256620
Period 3,0.26849442720413200,0.24440774321556100,0.01321997027844190
Period 4,0.25394490361213700,0.22788125276565600,0.01347993314266200
Period 5,0.19082070887088800,0.17038109898567200,0.01511995214968920
Period 6,0.16718754172325100,0.15389685332775100,0.01523993723094460
Period 7,0.19131152331829100,0.17253623902797700,0.01575994864106180
Period 8,0.18644186854362500,0.17501230537891400,0.01631993800401690
Period 9,0.19835324585437800,0.18100988864898700,0.01607990078628060
Period 10,0.20402033627033200,0.18408052623271900,0.01563997380435470
Period 11,0.21023753285408000,0.19293136894702900,0.01509988121688370
Period 12,0.21076270937919600,0.19084967672824900,0.01605997979640960
Period 13,0.17442749440670000,0.16316778957843800,0.01607988029718400
Period 14,0.18554995954036700,0.17941373586654700,0.01459993980824950
Period 15,0.21519757807254800,0.20213103294372600,0.01453982852399350
Period 16,0.17477875947952300,0.17701630294323000,0.01449997629970310
Period 17,0.15955355763435400,0.17040088772773700,0.01455994788557290
Period 18,0.14537325501442000,0.14842647314071700,0.01508330553770070
Period 19,0.11588326841592800,0.12508517503738400,0.01697989366948600
Period 20,0.07689904421567920,0.09636933356523510,0.01749995723366740
Period 21,-0.03494905307888980,-0.01853004284203050,0.01820992678403850
Period 22,-0.05256849899888040,-0.03341886401176450,0.01793994382023810
Period 23,0.00293825380504131,0.03328603878617290,0.01825985871255400
Period 24,-0.03013703040778640,0.00147315405774862,0.01953992061316970
Period 25,-0.05737164244055750,-0.02236081659793850,0.01989989727735520
Period 26,-0.08104143291711810,-0.05567758530378340,0.01957997865974900
Period 27,-0.09632335603237150,-0.05840662866830830,0.01801982708275320
Period 28,-0.13198967278003700,-0.09514828771352770,0.01911967806518080
Period 29,-0.09948056936264040,-0.05663317069411280,0.02163996733725070
Period 30,-0.05981498211622240,-0.01222821976989510,0.02367982640862460
Period 31,-0.03444934636354450,0.01842814683914180,0.02385988645255570
Period 32,-0.04906250163912770,0.00152849371079355,0.02589948847889900
Period 33,-0.06580079346895220,-0.03111745603382590,0.02775984816253190
Period 34,-0.06238941848278050,-0.02427678368985650,0.02885995246469970
Period 35,-0.12348606437444700,-0.09441351890563960,0.02827992290258410
Period 36,-0.13935847580432900,-0.11258240044117000,0.03011978790163990
Period 37,-0.20758852362632800,-0.18222196400165600,0.02943975664675240
Period 38,-0.20922324061393700,-0.18634021282196000,0.02873979508876800
Period 39,-0.20645958185195900,-0.18409189581871000,0.02771990373730660
Period 40,-0.12210817635059400,-0.10573418438434600,0.02892982028424740
Period 41,-0.20027969777584100,-0.17620699107646900,0.03047985397279260
Period 42,-0.20922324061393700,-0.18634021282196000,0.03355960920453070
Period 43,-0.17346730828285200,-0.15450949966907500,0.03193964809179310
Period 44,-0.20922324061393700,-0.18634021282196000,0.03071925044059750
Period 45,-0.14931754767894700,-0.13174127042293500,0.02939952351152900
